column,math_missing_count,math_missing_percent,portuguese_missing_count,portuguese_missing_percent
school,0,0.0,0,0.0
sex,0,0.0,0,0.0
age,0,0.0,0,0.0
address,0,0.0,0,0.0
famsize,0,0.0,0,0.0
Pstatus,0,0.0,0,0.0
Medu,0,0.0,0,0.0
Fedu,0,0.0,0,0.0
Mjob,0,0.0,0,0.0
Fjob,0,0.0,0,0.0
reason,0,0.0,0,0.0
guardian,0,0.0,0,0.0
traveltime,0,0.0,0,0.0
studytime,0,0.0,0,0.0
failures,0,0.0,0,0.0
schoolsup,0,0.0,0,0.0
famsup,0,0.0,0,0.0
paid,0,0.0,0,0.0
activities,0,0.0,0,0.0
nursery,0,0.0,0,0.0
higher,0,0.0,0,0.0
internet,0,0.0,0,0.0
romantic,0,0.0,0,0.0
famrel,0,0.0,0,0.0
freetime,0,0.0,0,0.0
goout,0,0.0,0,0.0
Dalc,0,0.0,0,0.0
Walc,0,0.0,0,0.0
health,0,0.0,0,0.0
absences,0,0.0,0,0.0
G1,0,0.0,0,0.0
G2,0,0.0,0,0.0
G3,0,0.0,0,0.0
