feature,importance
numeric__failures,0.2872212975830205
numeric__absences,0.1048446938835903
categorical__subject_portuguese,0.048831085573200456
numeric__freetime,0.046986549164101186
categorical__higher_no,0.03482425106469892
numeric__age,0.03268598261590308
numeric__goout,0.03079063343206902
categorical__subject_mathematics,0.027479983054433405
categorical__school_ms,0.026314466786717214
numeric__traveltime,0.025174174696061053
numeric__walc,0.024537166922003376
categorical__schoolsup_yes,0.02412487227788378
categorical__higher_yes,0.020206265222687307
numeric__medu,0.019627607850152193
categorical__school_gp,0.019404770646862402
categorical__schoolsup_no,0.01914265497799556
numeric__studytime,0.013893514321374888
numeric__fedu,0.01352116486111939
categorical__reason_course,0.012340993990994606
categorical__fjob_services,0.011533046235014041
numeric__health,0.00987792972872325
categorical__guardian_father,0.009276161913703798
categorical__famsize_le3,0.008852043340738977
numeric__dalc,0.008199294012406256
categorical__mjob_services,0.007960097141896992
categorical__reason_reputation,0.007834066487815776
categorical__mjob_health,0.007246624341962754
numeric__famrel,0.006760877306145118
categorical__activities_yes,0.006459610729474917
categorical__mjob_teacher,0.005836060160217213
categorical__internet_yes,0.005783604296742192
categorical__paid_yes,0.005734603523817999
categorical__nursery_yes,0.00572292424713186
categorical__sex_f,0.005659681140572186
categorical__famsize_gt3,0.005613053618002165
categorical__reason_other,0.0052890465375772956
categorical__romantic_yes,0.004615884884149357
categorical__nursery_no,0.004152832586521059
categorical__paid_no,0.0041160390352113375
categorical__sex_m,0.003701497456298525
categorical__internet_no,0.003631518846030286
categorical__activities_no,0.0034743543325876643
categorical__address_u,0.003304501471385317
categorical__guardian_other,0.0029564024638650344
categorical__mjob_at_home,0.0029525117778523326
categorical__romantic_no,0.0021034360330953756
categorical__famsup_yes,0.0019328836005982168
categorical__fjob_other,0.0018223806051120936
categorical__pstatus_a,0.0017790154757515654
categorical__address_r,0.0016140044742642928
categorical__guardian_mother,0.0005750388872241993
categorical__reason_home,0.0005050767791165997
categorical__fjob_teacher,0.00045084514620776536
categorical__pstatus_t,0.00041987609972842004
categorical__famsup_no,0.00030104635818898777
categorical__mjob_other,0.0
categorical__fjob_health,0.0
categorical__fjob_at_home,0.0
